Tag,Ball-Powder Ratio,Jar,20mm Run Time (Hours),10mm Run Time (Hours),6mm Run Time (Hours),Total Run Time (Hours),Circ.,Feret,AR,Round
A4,15:1,,32.0,0.0,0.0,32.0,0.65,8.544,2.322,0.431
A4,15:1,,32.0,0.0,0.0,32.0,0.602,111.324,1.723,0.58
A4,15:1,,32.0,0.0,0.0,32.0,0.616,105.475,1.651,0.606
A4,15:1,,32.0,0.0,0.0,32.0,0.597,106.944,1.684,0.594
A4,15:1,,32.0,0.0,0.0,32.0,0.748,78.262,1.187,0.843
A4,15:1,,32.0,0.0,0.0,32.0,0.559,62.201,1.279,0.782
A4,15:1,,32.0,0.0,0.0,32.0,0.673,69.462,1.299,0.77
A4,15:1,,32.0,0.0,0.0,32.0,0.708,107.689,1.44,0.695
A4,15:1,,32.0,0.0,0.0,32.0,0.602,67.624,1.518,0.659
A4,15:1,,32.0,0.0,0.0,32.0,0.666,66.129,1.429,0.7
A4,15:1,,32.0,0.0,0.0,32.0,0.612,63.008,1.196,0.836
A4,15:1,,32.0,0.0,0.0,32.0,0.597,74.33,1.38,0.725
A4,15:1,,32.0,0.0,0.0,32.0,0.672,54.083,1.208,0.828
A4,15:1,,32.0,0.0,0.0,32.0,0.638,117.652,1.649,0.606
A4,15:1,,32.0,0.0,0.0,32.0,0.739,66.641,1.632,0.613
A4,15:1,,32.0,0.0,0.0,32.0,0.465,63.953,2.921,0.342
A4,15:1,,32.0,0.0,0.0,32.0,0.651,68.359,1.42,0.704
A4,15:1,,32.0,0.0,0.0,32.0,0.575,81.394,1.933,0.517
A4,15:1,,32.0,0.0,0.0,32.0,0.763,48.662,1.055,0.948
A4,15:1,,32.0,0.0,0.0,32.0,0.725,48.083,1.489,0.671
A4,15:1,,32.0,0.0,0.0,32.0,0.81,8.062,1.026,0.974
A4,15:1,,32.0,0.0,0.0,32.0,0.566,51.039,1.146,0.873
A4,15:1,,32.0,0.0,0.0,32.0,0.628,68.942,1.677,0.596
A4,15:1,,32.0,0.0,0.0,32.0,0.63,109.659,1.271,0.787
A4,15:1,,32.0,0.0,0.0,32.0,0.736,88.074,1.821,0.549
A4,15:1,,32.0,0.0,0.0,32.0,0.786,34.132,1.369,0.73
A4,15:1,,32.0,0.0,0.0,32.0,0.67,55.218,1.529,0.654
A4,15:1,,32.0,0.0,0.0,32.0,0.664,118.423,1.449,0.69
A4,15:1,,32.0,0.0,0.0,32.0,0.655,82.201,1.893,0.528
A4,15:1,,32.0,0.0,0.0,32.0,0.674,73.11,1.262,0.792
A4,15:1,,32.0,0.0,0.0,32.0,0.629,85.165,1.177,0.849
A4,15:1,,32.0,0.0,0.0,32.0,0.587,188.939,2.054,0.487
A4,15:1,,32.0,0.0,0.0,32.0,0.632,56.08,1.828,0.547
A4,15:1,,32.0,0.0,0.0,32.0,0.622,60.0,1.81,0.552
A4,15:1,,32.0,0.0,0.0,32.0,0.662,112.004,1.392,0.718
A4,15:1,,32.0,0.0,0.0,32.0,0.669,53.31,1.019,0.982
A4,15:1,,32.0,0.0,0.0,32.0,0.634,90.471,1.556,0.643
A4,15:1,,32.0,0.0,0.0,32.0,0.763,44.102,1.152,0.868
A4,15:1,,32.0,0.0,0.0,32.0,0.702,49.729,1.36,0.735
A4,15:1,,32.0,0.0,0.0,32.0,0.716,121.598,1.168,0.856
